PizzaID,Ing_69fee3be3a1b9e8f52f21e37,Ing_69fee3e33a1b9e8f52f21e3c,Ing_69fee40a3a1b9e8f52f21e55,Ing_69fee4223a1b9e8f52f21e5a,Ing_69fee4543a1b9e8f52f21e5f,Ing_69fee4863a1b9e8f52f21e64,Ing_69fee4b03a1b9e8f52f21e69,Ing_69fee5283a1b9e8f52f21e6e
69fee68e4ea006d2f3d552f5,1,1,1,0,1,0,0,0
69fee6954ea006d2f3d552fd,1,1,0,1,1,0,1,0
69fee69a4ea006d2f3d55305,1,1,0,0,0,0,1,1
69fee7114ea006d2f3d5534e,1,1,0,1,0,0,0,0
69fee7154ea006d2f3d55356,1,1,1,0,0,0,0,0
69fee7164ea006d2f3d5535e,1,1,1,0,1,0,0,0
69fee7194ea006d2f3d55366,1,1,0,0,1,0,0,0
69fee71b4ea006d2f3d5536e,1,1,0,0,0,1,0,0
69fee71f4ea006d2f3d55376,1,1,0,0,0,0,1,0
69fee7234ea006d2f3d5537e,1,1,0,0,0,0,0,1
69fee7284ea006d2f3d55386,1,1,1,1,0,0,0,0
69fee72e4ea006d2f3d5538e,1,1,1,0,1,0,0,0
69fee7304ea006d2f3d55396,1,1,1,0,0,1,0,0
69fee7334ea006d2f3d5539e,1,1,1,0,0,0,1,0
69fee7374ea006d2f3d553a6,1,1,1,0,0,0,0,1
69fee73b4ea006d2f3d553ae,1,1,0,1,1,0,0,0
69fee73e4ea006d2f3d553b6,1,1,0,1,0,1,0,0
69fee7404ea006d2f3d553be,1,1,0,1,0,0,1,0
69fee7434ea006d2f3d553c6,1,1,0,1,0,0,0,1
69fee7474ea006d2f3d553ce,1,1,0,0,1,1,0,0
69fee7494ea006d2f3d553d6,1,1,0,0,1,0,1,0
69fee74c4ea006d2f3d553de,1,1,0,0,1,0,0,1
69fee7504ea006d2f3d553e6,1,1,0,0,0,1,1,0
69fee7544ea006d2f3d553ee,1,1,0,0,0,1,0,1
69fee7594ea006d2f3d553f6,1,1,0,0,0,0,1,1
69fee7654ea006d2f3d553fe,1,1,1,1,1,0,0,0
69fee76a4ea006d2f3d55406,1,1,1,0,1,1,0,0
69fee76e4ea006d2f3d5540e,1,1,1,0,0,1,1,0
69fee7714ea006d2f3d55416,1,1,1,0,0,0,1,1
69fee7784ea006d2f3d5541e,1,1,0,1,1,1,0,0
69fee7804ea006d2f3d55426,1,1,0,0,1,1,1,0
69fee7834ea006d2f3d5542e,1,1,0,0,0,1,1,1
69fee7944ea006d2f3d55436,1,1,1,0,0,1,1,0
69fee7964ea006d2f3d5543e,1,1,1,0,0,0,1,1
69fee7994ea006d2f3d55446,1,1,0,0,1,0,1,1
69fee79c4ea006d2f3d5544e,1,1,0,0,1,1,0,1
69fee79f4ea006d2f3d55456,1,1,0,0,0,1,1,1
69fee7a54ea006d2f3d5545e,1,1,1,1,1,1,0,0
69fee7aa4ea006d2f3d55466,1,1,0,1,1,1,1,0
69fee7ac4ea006d2f3d5546e,1,1,0,0,1,1,1,1
69fee7af4ea006d2f3d55476,1,1,0,1,0,1,1,1
69fee7b14ea006d2f3d5547e,1,1,1,1,0,1,1,1
69fee7b44ea006d2f3d55486,1,1,0,1,1,1,1,1
69fee7b64ea006d2f3d5548e,1,1,1,1,1,1,1,1
69fee7b74ea006d2f3d55496,1,1,1,1,1,1,1,1
69fee7b74ea006d2f3d5549e,1,1,1,1,1,1,1,1
69fee7ba4ea006d2f3d554a6,1,1,1,1,1,0,1,1
69fee7ba4ea006d2f3d554ae,1,1,1,1,1,0,1,1
69fee7ba4ea006d2f3d554b6,1,1,1,1,1,0,1,1
69fee7bc4ea006d2f3d554be,1,1,1,1,0,0,1,1
69fee7bc4ea006d2f3d554c6,1,1,1,1,0,0,1,1
69fee7c14ea006d2f3d554ce,1,1,1,1,1,1,1,0
69fee7c44ea006d2f3d554d6,1,1,0,1,1,1,1,0
69fee7c64ea006d2f3d554de,1,1,0,1,1,1,0,0
69fee7c94ea006d2f3d554e6,1,1,1,1,0,1,0,0
69fee7cc4ea006d2f3d554ee,1,1,1,1,0,0,1,0
69fee7cf4ea006d2f3d554f6,1,1,1,0,0,0,1,1
69fee7d14ea006d2f3d554fe,1,1,1,0,1,0,1,1
69fee7d94ea006d2f3d55506,1,1,0,1,1,0,1,0
69fee7db4ea006d2f3d5550e,1,1,1,1,1,0,1,0
69fee7dd4ea006d2f3d55516,1,1,1,1,1,1,1,0
